indicator,parentlocation,location,period,dim1,factvaluenumeric
Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,Europe,Armenia,2023,,100
Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,Europe,Azerbaijan,2023,,100
Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,Americas,Belize,2023,,100
Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,Africa,Cabo Verde,2023,,100
Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,Europe,Georgia,2023,,100
Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,Eastern Mediterranean,Libya,2023,,100
Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,Americas,Costa Rica,2023,,100
Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,Eastern Mediterranean,Djibouti,2023,,100
Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,Western Pacific,Fiji,2023,,100
Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,Americas,Nicaragua,2023,,200
Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,Eastern Mediterranean,Tunisia,2023,,200
Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,Americas,Uruguay,2023,,200
Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,Eastern Mediterranean,Afghanistan,2023,,200
Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,South-East Asia,Bangladesh,2023,,200
Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,Americas,El Salvador,2023,,200
Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,Africa,Mauritius,2023,,200
Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,Americas,Suriname,2023,,200
Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,Americas,Cuba,2023,,200
Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,Africa,Eritrea,2023,,200
Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,Africa,Mauritania,2023,,200
Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,Europe,Republic of Moldova,2023,,200
Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,Europe,Kyrgyzstan,2023,,500
Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,Western Pacific,Lao People's Democratic Republic,2023,,500
Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,Western Pacific,Malaysia,2023,,500
Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,South-East Asia,Nepal,2023,,500
Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,Europe,Tajikistan,2023,,500
Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,Americas,Guyana,2023,,500
Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,Americas,Honduras,2023,,500
Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,Americas,Jamaica,2023,,500
Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,Eastern Mediterranean,Morocco,2023,,500
Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,Americas,Panama,2023,,500
Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,Americas,Paraguay,2023,,500
Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,Europe,Romania,2023,,500
Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,Eastern Mediterranean,Somalia,2023,,500
Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,Eastern Mediterranean,Yemen,2023,,500
Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,Eastern Mediterranean,Iran (Islamic Republic of),2023,,500
Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,Africa,Gambia,2023,,1000
Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,Europe,Uzbekistan,2023,,1000
Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,Africa,Cote d'Ivoire,2023,,13000
Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,Africa,Ghana,2023,,13000
Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,Africa,Mozambique,2023,,130000
Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,Africa,Guinea-Bissau,2023,,1300
Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,Africa,Ethiopia,2023,,14000
