indicator,parentlocation,location,period,dim1,factvaluenumeric
Prevalence of HIV among adults aged 15 to 49 (%),Europe,Albania,2023,,0.1
Prevalence of HIV among adults aged 15 to 49 (%),Africa,Algeria,2023,,0.1
Prevalence of HIV among adults aged 15 to 49 (%),South-East Asia,Bangladesh,2023,,0.1
Prevalence of HIV among adults aged 15 to 49 (%),Europe,Bosnia and Herzegovina,2023,,0.1
Prevalence of HIV among adults aged 15 to 49 (%),Europe,Bulgaria,2023,,0.1
Prevalence of HIV among adults aged 15 to 49 (%),Africa,Comoros,2023,,0.1
Prevalence of HIV among adults aged 15 to 49 (%),Europe,Croatia,2023,,0.1
Prevalence of HIV among adults aged 15 to 49 (%),Europe,Czechia,2023,,0.1
Prevalence of HIV among adults aged 15 to 49 (%),Eastern Mediterranean,Egypt,2023,,0.1
Prevalence of HIV among adults aged 15 to 49 (%),Eastern Mediterranean,Iraq,2023,,0.1
Prevalence of HIV among adults aged 15 to 49 (%),Eastern Mediterranean,Jordan,2023,,0.1
Prevalence of HIV among adults aged 15 to 49 (%),Eastern Mediterranean,Kuwait,2023,,0.1
Prevalence of HIV among adults aged 15 to 49 (%),Eastern Mediterranean,Lebanon,2023,,0.1
Prevalence of HIV among adults aged 15 to 49 (%),Western Pacific,Mongolia,2023,,0.1
Prevalence of HIV among adults aged 15 to 49 (%),Eastern Mediterranean,Morocco,2023,,0.1
Prevalence of HIV among adults aged 15 to 49 (%),Western Pacific,New Zealand,2023,,0.1
Prevalence of HIV among adults aged 15 to 49 (%),Europe,North Macedonia,2023,,0.1
Prevalence of HIV among adults aged 15 to 49 (%),Eastern Mediterranean,Oman,2023,,0.1
Prevalence of HIV among adults aged 15 to 49 (%),Eastern Mediterranean,Qatar,2023,,0.1
Prevalence of HIV among adults aged 15 to 49 (%),Eastern Mediterranean,Saudi Arabia,2023,,0.1
Prevalence of HIV among adults aged 15 to 49 (%),Europe,Serbia,2023,,0.1
Prevalence of HIV among adults aged 15 to 49 (%),Europe,Slovakia,2023,,0.1
Prevalence of HIV among adults aged 15 to 49 (%),Europe,Slovenia,2023,,0.1
Prevalence of HIV among adults aged 15 to 49 (%),Eastern Mediterranean,Somalia,2023,,0.1
Prevalence of HIV among adults aged 15 to 49 (%),South-East Asia,Sri Lanka,2023,,0.1
Prevalence of HIV among adults aged 15 to 49 (%),Eastern Mediterranean,Syrian Arab Republic,2023,,0.1
Prevalence of HIV among adults aged 15 to 49 (%),Eastern Mediterranean,Iran (Islamic Republic of),2023,,0.1
Prevalence of HIV among adults aged 15 to 49 (%),Europe,Montenegro,2023,,0.1
Prevalence of HIV among adults aged 15 to 49 (%),Eastern Mediterranean,Tunisia,2023,,0.1
Prevalence of HIV among adults aged 15 to 49 (%),Eastern Mediterranean,Yemen,2023,,0.1
Prevalence of HIV among adults aged 15 to 49 (%),Eastern Mediterranean,Afghanistan,2023,,0.1
Prevalence of HIV among adults aged 15 to 49 (%),Europe,Romania,2023,,0.1
Prevalence of HIV among adults aged 15 to 49 (%),Europe,Azerbaijan,2023,,0.1
Prevalence of HIV among adults aged 15 to 49 (%),Europe,Denmark,2023,,0.1
Prevalence of HIV among adults aged 15 to 49 (%),Europe,Iceland,2023,,0.1
Prevalence of HIV among adults aged 15 to 49 (%),Eastern Mediterranean,Libya,2023,,0.1
Prevalence of HIV among adults aged 15 to 49 (%),South-East Asia,Nepal,2023,,0.1
Prevalence of HIV among adults aged 15 to 49 (%),Western Pacific,Australia,2023,,0.1
Prevalence of HIV among adults aged 15 to 49 (%),Europe,Israel,2023,,0.1
Prevalence of HIV among adults aged 15 to 49 (%),Europe,Greece,2023,,0.2
Prevalence of HIV among adults aged 15 to 49 (%),Europe,Lithuania,2023,,0.2
Prevalence of HIV among adults aged 15 to 49 (%),Western Pacific,Singapore,2023,,0.2
Prevalence of HIV among adults aged 15 to 49 (%),Eastern Mediterranean,Sudan,2023,,0.2
Prevalence of HIV among adults aged 15 to 49 (%),South-East Asia,Bhutan,2023,,0.2
Prevalence of HIV among adults aged 15 to 49 (%),Europe,Ireland,2023,,0.2
Prevalence of HIV among adults aged 15 to 49 (%),Europe,Malta,2023,,0.2
Prevalence of HIV among adults aged 15 to 49 (%),Africa,Niger,2023,,0.2
Prevalence of HIV among adults aged 15 to 49 (%),Eastern Mediterranean,Pakistan,2023,,0.2
Prevalence of HIV among adults aged 15 to 49 (%),Europe,Tajikistan,2023,,0.2
Prevalence of HIV among adults aged 15 to 49 (%),South-East Asia,Timor-Leste,2023,,0.2
