indicator,parentlocation,location,period,dim1,factvaluenumeric
Number of new HIV infections,Americas,Barbados,2023,,100
Number of new HIV infections,Africa,Comoros,2023,,100
Number of new HIV infections,Europe,Croatia,2023,,100
Number of new HIV infections,Europe,Denmark,2023,,100
Number of new HIV infections,Europe,Iceland,2023,,100
Number of new HIV infections,Eastern Mediterranean,Jordan,2023,,100
Number of new HIV infections,Europe,Luxembourg,2023,,100
Number of new HIV infections,Europe,Malta,2023,,100
Number of new HIV infections,Western Pacific,Mongolia,2023,,100
Number of new HIV infections,Europe,Montenegro,2023,,100
Number of new HIV infections,Western Pacific,New Zealand,2023,,100
Number of new HIV infections,Europe,North Macedonia,2023,,100
Number of new HIV infections,Eastern Mediterranean,Syrian Arab Republic,2023,,100
Number of new HIV infections,Europe,Albania,2023,,100
Number of new HIV infections,Americas,Bahamas,2023,,100
Number of new HIV infections,South-East Asia,Bhutan,2023,,100
Number of new HIV infections,Europe,Bosnia and Herzegovina,2023,,100
Number of new HIV infections,Europe,Estonia,2023,,100
Number of new HIV infections,Eastern Mediterranean,Oman,2023,,200
Number of new HIV infections,Eastern Mediterranean,Qatar,2023,,200
Number of new HIV infections,South-East Asia,Timor-Leste,2023,,200
Number of new HIV infections,Europe,Czechia,2023,,200
Number of new HIV infections,Europe,Lithuania,2023,,200
Number of new HIV infections,Europe,Switzerland,2023,,200
Number of new HIV infections,Americas,Belize,2023,,200
Number of new HIV infections,Europe,Slovakia,2023,,200
Number of new HIV infections,South-East Asia,Sri Lanka,2023,,200
Number of new HIV infections,Europe,Ireland,2023,,200
Number of new HIV infections,Eastern Mediterranean,Kuwait,2023,,200
Number of new HIV infections,Europe,Serbia,2023,,200
Number of new HIV infections,Western Pacific,Singapore,2023,,200
Number of new HIV infections,Europe,Bulgaria,2023,,500
Number of new HIV infections,Africa,Cabo Verde,2023,,500
Number of new HIV infections,Africa,Eritrea,2023,,500
Number of new HIV infections,Europe,Israel,2023,,500
Number of new HIV infections,Africa,Mauritania,2023,,500
Number of new HIV infections,Western Pacific,Fiji,2023,,500
Number of new HIV infections,Europe,Latvia,2023,,500
Number of new HIV infections,Eastern Mediterranean,Lebanon,2023,,500
Number of new HIV infections,South-East Asia,Nepal,2023,,500
Number of new HIV infections,Eastern Mediterranean,Djibouti,2023,,500
Number of new HIV infections,Europe,Greece,2023,,500
Number of new HIV infections,Europe,Portugal,2023,,500
Number of new HIV infections,Europe,Romania,2023,,500
Number of new HIV infections,Europe,Azerbaijan,2023,,500
Number of new HIV infections,Europe,Tajikistan,2023,,500
Number of new HIV infections,Africa,Congo,2023,,10000
Number of new HIV infections,South-East Asia,Myanmar,2023,,10000
Number of new HIV infections,Africa,Cote d'Ivoire,2023,,11000
Number of new HIV infections,South-East Asia,Bangladesh,2023,,1100
Number of new HIV infections,Africa,Guinea-Bissau,2023,,1100
Number of new HIV infections,Africa,Mauritius,2023,,1100
Number of new HIV infections,Africa,Malawi,2023,,12000
Number of new HIV infections,Western Pacific,Cambodia,2023,,1200
Number of new HIV infections,Americas,Jamaica,2023,,1200
Number of new HIV infections,Americas,Colombia,2023,,13000
Number of new HIV infections,Western Pacific,Lao People's Democratic Republic,2023,,1300
Number of new HIV infections,Africa,Niger,2023,,1400
Number of new HIV infections,Africa,Benin,2023,,1400
Number of new HIV infections,Americas,Paraguay,2023,,1400
Number of new HIV infections,Africa,Zimbabwe,2023,,15000
Number of new HIV infections,Africa,South Africa,2023,,150000
Number of new HIV infections,Americas,Panama,2023,,1500
Number of new HIV infections,Eastern Mediterranean,Saudi Arabia,2023,,1500
Number of new HIV infections,Americas,Guatemala,2023,,1500
Number of new HIV infections,Africa,Gambia,2023,,1500
Number of new HIV infections,Africa,Angola,2023,,16000
Number of new HIV infections,Africa,Burundi,2023,,1600
Number of new HIV infections,Eastern Mediterranean,Yemen,2023,,1600
Number of new HIV infections,Africa,Kenya,2023,,17000
Number of new HIV infections,Eastern Mediterranean,Afghanistan,2023,,1700
Number of new HIV infections,Europe,Italy,2023,,1700
Number of new HIV infections,Africa,Ghana,2023,,18000
Number of new HIV infections,Americas,Mexico,2023,,19000
Number of new HIV infections,Africa,Gabon,2023,,1900
Number of new HIV infections,Africa,Burkina Faso,2023,,1900
Number of new HIV infections,Americas,Cuba,2023,,2000
Number of new HIV infections,Americas,Bolivia (Plurinational State of),2023,,2000
Number of new HIV infections,Africa,Democratic Republic of the Congo,2023,,21000
Number of new HIV infections,Africa,Algeria,2023,,2100
Number of new HIV infections,Americas,Ecuador,2023,,2200
Number of new HIV infections,Africa,Zambia,2023,,23000
Number of new HIV infections,Africa,Togo,2023,,2300
Number of new HIV infections,Europe,Kazakhstan,2023,,2300
Number of new HIV infections,Europe,Spain,2023,,2400
Number of new HIV infections,Eastern Mediterranean,Iran (Islamic Republic of),2023,,2600
Number of new HIV infections,South-East Asia,Indonesia,2023,,28000
Number of new HIV infections,Africa,Senegal,2023,,2800
Number of new HIV infections,Western Pacific,Philippines,2023,,29000
Number of new HIV infections,Western Pacific,Malaysia,2023,,2900
Number of new HIV infections,Africa,Rwanda,2023,,3200
Number of new HIV infections,Africa,Sierra Leone,2023,,3300
Number of new HIV infections,Americas,Chile,2023,,3400
Number of new HIV infections,Europe,Uzbekistan,2023,,3700
Number of new HIV infections,Africa,Uganda,2023,,38000
Number of new HIV infections,Americas,Dominican Republic,2023,,4000
Number of new HIV infections,Africa,Botswana,2023,,4100
Number of new HIV infections,Africa,Eswatini,2023,,4200
Number of new HIV infections,Americas,Argentina,2023,,4200
Number of new HIV infections,Africa,Chad,2023,,4500
Number of new HIV infections,Africa,Guinea,2023,,4600
Number of new HIV infections,Africa,Lesotho,2023,,4800
Number of new HIV infections,Europe,Georgia,2023,,500
Number of new HIV infections,Americas,Brazil,2023,,51000
Number of new HIV infections,Americas,Suriname,2023,,510
Number of new HIV infections,Americas,Honduras,2023,,510
Number of new HIV infections,Africa,United Republic of Tanzania,2023,,53000
Number of new HIV infections,Europe,Armenia,2023,,540
Number of new HIV infections,Eastern Mediterranean,Sudan,2023,,5500
Number of new HIV infections,Africa,Mali,2023,,5500
Number of new HIV infections,Europe,France,2023,,5500
Number of new HIV infections,Americas,Haiti,2023,,5600
Number of new HIV infections,Americas,Guyana,2023,,580
Number of new HIV infections,Africa,Namibia,2023,,6000
Number of new HIV infections,Western Pacific,Viet Nam,2023,,6100
Number of new HIV infections,Americas,Peru,2023,,6300
Number of new HIV infections,Americas,Nicaragua,2023,,670
