indicator,parentlocation,location,period,dim1,factvaluenumeric
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Armenia,2023,,100
Estimated number of children needing antiretroviral therapy based on WHO methods,Americas,Belize,2023,,100
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Cabo Verde,2023,,100
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Georgia,2023,,100
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Mauritius,2023,,100
Estimated number of children needing antiretroviral therapy based on WHO methods,Western Pacific,Fiji,2023,,100
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Azerbaijan,2023,,200
Estimated number of children needing antiretroviral therapy based on WHO methods,Americas,Costa Rica,2023,,200
Estimated number of children needing antiretroviral therapy based on WHO methods,Americas,Cuba,2023,,200
Estimated number of children needing antiretroviral therapy based on WHO methods,Eastern Mediterranean,Libya,2023,,200
Estimated number of children needing antiretroviral therapy based on WHO methods,Americas,Suriname,2023,,200
Estimated number of children needing antiretroviral therapy based on WHO methods,Americas,Chile,2023,,200
Estimated number of children needing antiretroviral therapy based on WHO methods,Americas,Nicaragua,2023,,200
Estimated number of children needing antiretroviral therapy based on WHO methods,Eastern Mediterranean,Tunisia,2023,,200
Estimated number of children needing antiretroviral therapy based on WHO methods,Western Pacific,Malaysia,2023,,500
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Republic of Moldova,2023,,500
Estimated number of children needing antiretroviral therapy based on WHO methods,Americas,Uruguay,2023,,500
Estimated number of children needing antiretroviral therapy based on WHO methods,Eastern Mediterranean,Afghanistan,2023,,500
Estimated number of children needing antiretroviral therapy based on WHO methods,Americas,Guyana,2023,,500
Estimated number of children needing antiretroviral therapy based on WHO methods,South-East Asia,Bangladesh,2023,,500
Estimated number of children needing antiretroviral therapy based on WHO methods,Americas,El Salvador,2023,,500
Estimated number of children needing antiretroviral therapy based on WHO methods,Americas,Jamaica,2023,,500
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Kyrgyzstan,2023,,500
Estimated number of children needing antiretroviral therapy based on WHO methods,Americas,Panama,2023,,500
Estimated number of children needing antiretroviral therapy based on WHO methods,Americas,Paraguay,2023,,500
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Mauritania,2023,,500
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Kazakhstan,2023,,500
Estimated number of children needing antiretroviral therapy based on WHO methods,Eastern Mediterranean,Djibouti,2023,,500
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Eritrea,2023,,500
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Congo,2023,,10000
Estimated number of children needing antiretroviral therapy based on WHO methods,Eastern Mediterranean,Somalia,2023,,1000
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Guinea,2023,,11000
Estimated number of children needing antiretroviral therapy based on WHO methods,Americas,Ecuador,2023,,1100
Estimated number of children needing antiretroviral therapy based on WHO methods,South-East Asia,Nepal,2023,,1100
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,South Sudan,2023,,12000
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Chad,2023,,12000
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Mali,2023,,12000
Estimated number of children needing antiretroviral therapy based on WHO methods,Western Pacific,Philippines,2023,,1200
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Algeria,2023,,1300
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Mozambique,2023,,150000
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,South Africa,2023,,160000
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Nigeria,2023,,160000
Estimated number of children needing antiretroviral therapy based on WHO methods,South-East Asia,Indonesia,2023,,17000
Estimated number of children needing antiretroviral therapy based on WHO methods,Western Pacific,Cambodia,2023,,1700
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Cote d'Ivoire,2023,,18000
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Ghana,2023,,18000
Estimated number of children needing antiretroviral therapy based on WHO methods,South-East Asia,Thailand,2023,,1800
Estimated number of children needing antiretroviral therapy based on WHO methods,Americas,Guatemala,2023,,1800
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Gambia,2023,,1900
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Guinea-Bissau,2023,,2200
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Senegal,2023,,2200
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Gabon,2023,,2400
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Ethiopia,2023,,27000
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Liberia,2023,,2700
Estimated number of children needing antiretroviral therapy based on WHO methods,Americas,Dominican Republic,2023,,2800
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Niger,2023,,3100
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Angola,2023,,32000
Estimated number of children needing antiretroviral therapy based on WHO methods,Americas,Mexico,2023,,3300
Estimated number of children needing antiretroviral therapy based on WHO methods,Europe,Uzbekistan,2023,,3400
Estimated number of children needing antiretroviral therapy based on WHO methods,Africa,Madagascar,2023,,3700
Estimated number of children needing antiretroviral therapy based on WHO methods,Western Pacific,Viet Nam,2023,,3900
