indicator,parentlocation,location,period,dim1,factvaluenumeric
Estimated number of people (all ages) living with HIV,Africa,Comoros,2023,,200
Estimated number of people (all ages) living with HIV,Europe,Iceland,2023,,500
Estimated number of people (all ages) living with HIV,Europe,Montenegro,2023,,500
Estimated number of people (all ages) living with HIV,Americas,Brazil,2023,,1000000
Estimated number of people (all ages) living with HIV,Africa,Zimbabwe,2023,,1300000
Estimated number of people (all ages) living with HIV,Africa,Zambia,2023,,1300000
Estimated number of people (all ages) living with HIV,Africa,Kenya,2023,,1400000
Estimated number of people (all ages) living with HIV,Africa,Uganda,2023,,1500000
Estimated number of people (all ages) living with HIV,Africa,United Republic of Tanzania,2023,,1700000
Estimated number of people (all ages) living with HIV,Americas,Guyana,2023,,10000
Estimated number of people (all ages) living with HIV,Europe,Azerbaijan,2023,,10000
Estimated number of people (all ages) living with HIV,Africa,Togo,2023,,100000
Estimated number of people (all ages) living with HIV,Americas,Venezuela (Bolivarian Republic of),2023,,100000
Estimated number of people (all ages) living with HIV,Eastern Mediterranean,Saudi Arabia,2023,,11000
Estimated number of people (all ages) living with HIV,Africa,Chad,2023,,110000
Estimated number of people (all ages) living with HIV,Americas,Peru,2023,,110000
Estimated number of people (all ages) living with HIV,Eastern Mediterranean,Kuwait,2023,,1100
Estimated number of people (all ages) living with HIV,Europe,Kyrgyzstan,2023,,12000
Estimated number of people (all ages) living with HIV,Americas,Nicaragua,2023,,12000
Estimated number of people (all ages) living with HIV,Africa,Congo,2023,,120000
Estimated number of people (all ages) living with HIV,Africa,Mali,2023,,120000
Estimated number of people (all ages) living with HIV,Africa,Mauritius,2023,,13000
Estimated number of people (all ages) living with HIV,Africa,Eritrea,2023,,13000
Estimated number of people (all ages) living with HIV,Eastern Mediterranean,Afghanistan,2023,,13000
Estimated number of people (all ages) living with HIV,Africa,Guinea,2023,,130000
Estimated number of people (all ages) living with HIV,South-East Asia,Bhutan,2023,,1300
Estimated number of people (all ages) living with HIV,Americas,Haiti,2023,,140000
Estimated number of people (all ages) living with HIV,Europe,Italy,2023,,140000
Estimated number of people (all ages) living with HIV,Africa,South Sudan,2023,,140000
Estimated number of people (all ages) living with HIV,Americas,Argentina,2023,,140000
Estimated number of people (all ages) living with HIV,Europe,Greece,2023,,15000
Estimated number of people (all ages) living with HIV,Europe,Tajikistan,2023,,15000
Estimated number of people (all ages) living with HIV,South-East Asia,Bangladesh,2023,,15000
Estimated number of people (all ages) living with HIV,Eastern Mediterranean,Yemen,2023,,15000
Estimated number of people (all ages) living with HIV,Europe,Spain,2023,,150000
Estimated number of people (all ages) living with HIV,Europe,Albania,2023,,1500
Estimated number of people (all ages) living with HIV,Americas,Uruguay,2023,,16000
Estimated number of people (all ages) living with HIV,Europe,Republic of Moldova,2023,,16000
Estimated number of people (all ages) living with HIV,Europe,Luxembourg,2023,,1600
Estimated number of people (all ages) living with HIV,Europe,Switzerland,2023,,17000
Estimated number of people (all ages) living with HIV,Eastern Mediterranean,United Arab Emirates,2023,,1700
Estimated number of people (all ages) living with HIV,Europe,Slovakia,2023,,1700
Estimated number of people (all ages) living with HIV,South-East Asia,Timor-Leste,2023,,1700
Estimated number of people (all ages) living with HIV,Europe,Romania,2023,,18000
Estimated number of people (all ages) living with HIV,Europe,Croatia,2023,,1800
Estimated number of people (all ages) living with HIV,Americas,Costa Rica,2023,,19000
Estimated number of people (all ages) living with HIV,Western Pacific,Philippines,2023,,190000
Estimated number of people (all ages) living with HIV,Africa,Nigeria,2023,,2000000
Estimated number of people (all ages) living with HIV,Africa,Mozambique,2023,,2400000
Estimated number of people (all ages) living with HIV,South-East Asia,India,2023,,2500000
Estimated number of people (all ages) living with HIV,Americas,Honduras,2023,,20000
Estimated number of people (all ages) living with HIV,Western Pacific,Lao People's Democratic Republic,2023,,20000
Estimated number of people (all ages) living with HIV,Europe,France,2023,,200000
Estimated number of people (all ages) living with HIV,Americas,Barbados,2023,,2100
Estimated number of people (all ages) living with HIV,Americas,Paraguay,2023,,22000
Estimated number of people (all ages) living with HIV,Americas,El Salvador,2023,,23000
Estimated number of people (all ages) living with HIV,Eastern Mediterranean,Morocco,2023,,23000
Estimated number of people (all ages) living with HIV,Americas,Colombia,2023,,230000
Estimated number of people (all ages) living with HIV,Africa,Eswatini,2023,,230000
Estimated number of people (all ages) living with HIV,Africa,Namibia,2023,,230000
Estimated number of people (all ages) living with HIV,Africa,Rwanda,2023,,230000
Estimated number of people (all ages) living with HIV,Western Pacific,Viet Nam,2023,,250000
Estimated number of people (all ages) living with HIV,Africa,Gambia,2023,,26000
Estimated number of people (all ages) living with HIV,Africa,Algeria,2023,,26000
Estimated number of people (all ages) living with HIV,Americas,Jamaica,2023,,26000
Estimated number of people (all ages) living with HIV,Western Pacific,Fiji,2023,,2600
Estimated number of people (all ages) living with HIV,Europe,Belarus,2023,,27000
Estimated number of people (all ages) living with HIV,Africa,Lesotho,2023,,270000
Estimated number of people (all ages) living with HIV,South-East Asia,Myanmar,2023,,280000
Estimated number of people (all ages) living with HIV,Eastern Mediterranean,Oman,2023,,2800
Estimated number of people (all ages) living with HIV,Western Pacific,Australia,2023,,29000
Estimated number of people (all ages) living with HIV,Eastern Mediterranean,Pakistan,2023,,290000
Estimated number of people (all ages) living with HIV,Eastern Mediterranean,Lebanon,2023,,2900
Estimated number of people (all ages) living with HIV,South-East Asia,Nepal,2023,,30000
Estimated number of people (all ages) living with HIV,Americas,Panama,2023,,30000
Estimated number of people (all ages) living with HIV,Americas,Bolivia (Plurinational State of),2023,,31000
Estimated number of people (all ages) living with HIV,Africa,Niger,2023,,31000
Estimated number of people (all ages) living with HIV,Africa,Angola,2023,,320000
Estimated number of people (all ages) living with HIV,Africa,Ghana,2023,,330000
Estimated number of people (all ages) living with HIV,Africa,Liberia,2023,,34000
Estimated number of people (all ages) living with HIV,Africa,Guinea-Bissau,2023,,34000
Estimated number of people (all ages) living with HIV,Eastern Mediterranean,Iraq,2023,,3400
Estimated number of people (all ages) living with HIV,Americas,Guatemala,2023,,35000
Estimated number of people (all ages) living with HIV,Africa,Botswana,2023,,360000
Estimated number of people (all ages) living with HIV,Europe,Lithuania,2023,,3600
Estimated number of people (all ages) living with HIV,Western Pacific,New Zealand,2023,,3600
Estimated number of people (all ages) living with HIV,Americas,Belize,2023,,3600
Estimated number of people (all ages) living with HIV,Americas,Mexico,2023,,380000
Estimated number of people (all ages) living with HIV,Europe,Bulgaria,2023,,3800
Estimated number of people (all ages) living with HIV,Europe,Kazakhstan,2023,,40000
Estimated number of people (all ages) living with HIV,Europe,Serbia,2023,,4000
Estimated number of people (all ages) living with HIV,Africa,Cabo Verde,2023,,4000
Estimated number of people (all ages) living with HIV,Europe,Czechia,2023,,4100
Estimated number of people (all ages) living with HIV,Americas,Bahamas,2023,,4100
Estimated number of people (all ages) living with HIV,Eastern Mediterranean,Egypt,2023,,42000
Estimated number of people (all ages) living with HIV,Africa,Cote d'Ivoire,2023,,420000
Estimated number of people (all ages) living with HIV,Eastern Mediterranean,Iran (Islamic Republic of),2023,,43000
Estimated number of people (all ages) living with HIV,Americas,Cuba,2023,,44000
Estimated number of people (all ages) living with HIV,Africa,Senegal,2023,,44000
Estimated number of people (all ages) living with HIV,Europe,Portugal,2023,,47000
Estimated number of people (all ages) living with HIV,South-East Asia,Sri Lanka,2023,,4700
