indicator,parentlocation,location,period,dim1,factvaluenumeric
Estimated antiretroviral therapy coverage among children,Europe,Armenia,2023,,98
Estimated antiretroviral therapy coverage among children,Americas,Uruguay,2023,,98
Estimated antiretroviral therapy coverage among children,Africa,Cabo Verde,2023,,98
Estimated antiretroviral therapy coverage among children,Africa,Eswatini,2023,,98
Estimated antiretroviral therapy coverage among children,Africa,Chad,2023,,14
Estimated antiretroviral therapy coverage among children,Eastern Mediterranean,Sudan,2023,,15
Estimated antiretroviral therapy coverage among children,Eastern Mediterranean,Somalia,2023,,15
Estimated antiretroviral therapy coverage among children,Americas,Guyana,2023,,16
Estimated antiretroviral therapy coverage among children,Eastern Mediterranean,Djibouti,2023,,17
Estimated antiretroviral therapy coverage among children,Africa,Congo,2023,,18
Estimated antiretroviral therapy coverage among children,Eastern Mediterranean,Yemen,2023,,19
Estimated antiretroviral therapy coverage among children,Americas,Dominican Republic,2023,,19
Estimated antiretroviral therapy coverage among children,Western Pacific,Philippines,2023,,20
Estimated antiretroviral therapy coverage among children,South-East Asia,Indonesia,2023,,22
Estimated antiretroviral therapy coverage among children,Americas,Venezuela (Bolivarian Republic of),2023,,22
Estimated antiretroviral therapy coverage among children,Eastern Mediterranean,Tunisia,2023,,23
Estimated antiretroviral therapy coverage among children,Africa,Gabon,2023,,23
Estimated antiretroviral therapy coverage among children,Americas,Suriname,2023,,23
Estimated antiretroviral therapy coverage among children,Europe,Uzbekistan,2023,,24
Estimated antiretroviral therapy coverage among children,Americas,Honduras,2023,,25
Estimated antiretroviral therapy coverage among children,Americas,Guatemala,2023,,25
Estimated antiretroviral therapy coverage among children,Americas,El Salvador,2023,,26
Estimated antiretroviral therapy coverage among children,Eastern Mediterranean,Afghanistan,2023,,27
Estimated antiretroviral therapy coverage among children,Africa,Angola,2023,,27
Estimated antiretroviral therapy coverage among children,Africa,South Sudan,2023,,28
Estimated antiretroviral therapy coverage among children,Africa,Burkina Faso,2023,,28
Estimated antiretroviral therapy coverage among children,Africa,Nigeria,2023,,29
Estimated antiretroviral therapy coverage among children,Americas,Cuba,2023,,29
Estimated antiretroviral therapy coverage among children,Africa,Ghana,2023,,30
Estimated antiretroviral therapy coverage among children,Africa,Liberia,2023,,32
Estimated antiretroviral therapy coverage among children,Africa,Sierra Leone,2023,,32
Estimated antiretroviral therapy coverage among children,Africa,Gambia,2023,,33
Estimated antiretroviral therapy coverage among children,Americas,Ecuador,2023,,35
Estimated antiretroviral therapy coverage among children,Africa,Benin,2023,,36
Estimated antiretroviral therapy coverage among children,Americas,Paraguay,2023,,36
Estimated antiretroviral therapy coverage among children,Africa,Mauritania,2023,,37
Estimated antiretroviral therapy coverage among children,Americas,Belize,2023,,37
Estimated antiretroviral therapy coverage among children,Americas,Jamaica,2023,,38
Estimated antiretroviral therapy coverage among children,Europe,Kyrgyzstan,2023,,38
Estimated antiretroviral therapy coverage among children,Africa,Eritrea,2023,,39
Estimated antiretroviral therapy coverage among children,Africa,Niger,2023,,41
Estimated antiretroviral therapy coverage among children,Africa,Mali,2023,,42
Estimated antiretroviral therapy coverage among children,Americas,Bolivia (Plurinational State of),2023,,43
Estimated antiretroviral therapy coverage among children,Africa,Democratic Republic of the Congo,2023,,44
Estimated antiretroviral therapy coverage among children,Eastern Mediterranean,Pakistan,2023,,44
Estimated antiretroviral therapy coverage among children,Eastern Mediterranean,Iran (Islamic Republic of),2023,,46
Estimated antiretroviral therapy coverage among children,Eastern Mediterranean,Egypt,2023,,46
Estimated antiretroviral therapy coverage among children,Africa,Ethiopia,2023,,48
Estimated antiretroviral therapy coverage among children,Americas,Nicaragua,2023,,48
Estimated antiretroviral therapy coverage among children,Americas,Mexico,2023,,48
Estimated antiretroviral therapy coverage among children,Western Pacific,Papua New Guinea,2023,,49
Estimated antiretroviral therapy coverage among children,Africa,Cote d'Ivoire,2023,,51
Estimated antiretroviral therapy coverage among children,Americas,Haiti,2023,,51
Estimated antiretroviral therapy coverage among children,Africa,Guinea-Bissau,2023,,53
Estimated antiretroviral therapy coverage among children,Western Pacific,Cambodia,2023,,56
Estimated antiretroviral therapy coverage among children,Europe,Republic of Moldova,2023,,59
Estimated antiretroviral therapy coverage among children,Africa,Guinea,2023,,59
Estimated antiretroviral therapy coverage among children,Africa,Burundi,2023,,60
Estimated antiretroviral therapy coverage among children,Europe,Kazakhstan,2023,,60
Estimated antiretroviral therapy coverage among children,Eastern Mediterranean,Libya,2023,,60
Estimated antiretroviral therapy coverage among children,Africa,South Africa,2023,,63
Estimated antiretroviral therapy coverage among children,Africa,Zimbabwe,2023,,63
Estimated antiretroviral therapy coverage among children,South-East Asia,Thailand,2023,,64
Estimated antiretroviral therapy coverage among children,South-East Asia,Myanmar,2023,,64
Estimated antiretroviral therapy coverage among children,Americas,Panama,2023,,64
Estimated antiretroviral therapy coverage among children,Europe,Georgia,2023,,65
