indicator,parentlocation,location,period,dim1,factvaluenumeric
New HIV infections (per 1000 uninfected population),South-East Asia,Bangladesh,2023,Both sexes,0.01
New HIV infections (per 1000 uninfected population),South-East Asia,Bangladesh,2023,Female,0.01
New HIV infections (per 1000 uninfected population),South-East Asia,Bangladesh,2023,Male,0.01
New HIV infections (per 1000 uninfected population),Europe,Bosnia and Herzegovina,2023,Female,0.01
New HIV infections (per 1000 uninfected population),Europe,Czechia,2023,Female,0.01
New HIV infections (per 1000 uninfected population),Eastern Mediterranean,Jordan,2023,Both sexes,0.01
New HIV infections (per 1000 uninfected population),Eastern Mediterranean,Jordan,2023,Female,0.01
New HIV infections (per 1000 uninfected population),Eastern Mediterranean,Jordan,2023,Male,0.01
New HIV infections (per 1000 uninfected population),Eastern Mediterranean,Lebanon,2023,Female,0.01
New HIV infections (per 1000 uninfected population),Western Pacific,Mongolia,2023,Female,0.01
New HIV infections (per 1000 uninfected population),Western Pacific,New Zealand,2023,Female,0.01
New HIV infections (per 1000 uninfected population),Europe,North Macedonia,2023,Female,0.01
New HIV infections (per 1000 uninfected population),Europe,Serbia,2023,Female,0.01
New HIV infections (per 1000 uninfected population),Western Pacific,Singapore,2023,Female,0.01
New HIV infections (per 1000 uninfected population),Europe,Slovakia,2023,Female,0.01
New HIV infections (per 1000 uninfected population),South-East Asia,Sri Lanka,2023,Both sexes,0.01
New HIV infections (per 1000 uninfected population),South-East Asia,Sri Lanka,2023,Female,0.01
New HIV infections (per 1000 uninfected population),Eastern Mediterranean,Syrian Arab Republic,2023,Both sexes,0.01
New HIV infections (per 1000 uninfected population),Eastern Mediterranean,Syrian Arab Republic,2023,Female,0.01
New HIV infections (per 1000 uninfected population),Eastern Mediterranean,Syrian Arab Republic,2023,Male,0.01
New HIV infections (per 1000 uninfected population),Eastern Mediterranean,Afghanistan,2023,Female,0.01
New HIV infections (per 1000 uninfected population),Europe,Bulgaria,2023,Female,0.01
New HIV infections (per 1000 uninfected population),Africa,Comoros,2023,Both sexes,0.01
New HIV infections (per 1000 uninfected population),Africa,Comoros,2023,Female,0.01
New HIV infections (per 1000 uninfected population),Europe,Denmark,2023,Both sexes,0.01
New HIV infections (per 1000 uninfected population),Europe,Iceland,2023,Female,0.01
New HIV infections (per 1000 uninfected population),Europe,Montenegro,2023,Female,0.01
New HIV infections (per 1000 uninfected population),South-East Asia,Nepal,2023,Female,0.01
New HIV infections (per 1000 uninfected population),Western Pacific,New Zealand,2023,Both sexes,0.01
New HIV infections (per 1000 uninfected population),Eastern Mediterranean,Saudi Arabia,2023,Female,0.01
New HIV infections (per 1000 uninfected population),Eastern Mediterranean,Somalia,2023,Female,0.01
New HIV infections (per 1000 uninfected population),Eastern Mediterranean,Somalia,2023,Male,0.01
New HIV infections (per 1000 uninfected population),Europe,Switzerland,2023,Female,0.01
New HIV infections (per 1000 uninfected population),Africa,Comoros,2023,Male,0.1
New HIV infections (per 1000 uninfected population),Europe,Croatia,2023,Both sexes,0.1
New HIV infections (per 1000 uninfected population),Europe,Czechia,2023,Both sexes,0.1
New HIV infections (per 1000 uninfected population),Europe,Italy,2023,Female,0.1
New HIV infections (per 1000 uninfected population),Eastern Mediterranean,Kuwait,2023,Female,0.1
New HIV infections (per 1000 uninfected population),Western Pacific,New Zealand,2023,Male,0.1
New HIV infections (per 1000 uninfected population),Eastern Mediterranean,Oman,2023,Female,0.1
New HIV infections (per 1000 uninfected population),Europe,Romania,2023,Female,0.1
New HIV infections (per 1000 uninfected population),Europe,Spain,2023,Female,0.1
New HIV infections (per 1000 uninfected population),Europe,Sweden,2023,Female,0.1
New HIV infections (per 1000 uninfected population),Europe,Sweden,2023,Male,0.1
New HIV infections (per 1000 uninfected population),Europe,Switzerland,2023,Both sexes,0.1
New HIV infections (per 1000 uninfected population),Eastern Mediterranean,Afghanistan,2023,Both sexes,0.1
New HIV infections (per 1000 uninfected population),Europe,Albania,2023,Both sexes,0.1
New HIV infections (per 1000 uninfected population),Europe,Albania,2023,Female,0.1
New HIV infections (per 1000 uninfected population),Europe,Albania,2023,Male,0.1
New HIV infections (per 1000 uninfected population),Africa,Algeria,2023,Both sexes,0.1
New HIV infections (per 1000 uninfected population),Africa,Algeria,2023,Female,0.1
New HIV infections (per 1000 uninfected population),Africa,Algeria,2023,Male,0.1
New HIV infections (per 1000 uninfected population),Americas,Argentina,2023,Female,0.1
New HIV infections (per 1000 uninfected population),Europe,Azerbaijan,2023,Both sexes,0.1
New HIV infections (per 1000 uninfected population),Europe,Azerbaijan,2023,Female,0.1
New HIV infections (per 1000 uninfected population),Europe,Azerbaijan,2023,Male,0.1
New HIV infections (per 1000 uninfected population),Europe,Bosnia and Herzegovina,2023,Both sexes,0.1
New HIV infections (per 1000 uninfected population),Europe,Bosnia and Herzegovina,2023,Male,0.1
New HIV infections (per 1000 uninfected population),Europe,Bulgaria,2023,Both sexes,0.1
New HIV infections (per 1000 uninfected population),Europe,Bulgaria,2023,Male,0.1
New HIV infections (per 1000 uninfected population),Western Pacific,Cambodia,2023,Both sexes,0.1
New HIV infections (per 1000 uninfected population),Western Pacific,Cambodia,2023,Female,0.1
New HIV infections (per 1000 uninfected population),Americas,Chile,2023,Female,0.1
New HIV infections (per 1000 uninfected population),Americas,Costa Rica,2023,Female,0.1
New HIV infections (per 1000 uninfected population),Americas,Cuba,2023,Female,0.1
New HIV infections (per 1000 uninfected population),Europe,Czechia,2023,Male,0.1
New HIV infections (per 1000 uninfected population),Eastern Mediterranean,Egypt,2023,Both sexes,0.1
New HIV infections (per 1000 uninfected population),Eastern Mediterranean,Egypt,2023,Female,0.1
New HIV infections (per 1000 uninfected population),Africa,Eritrea,2023,Male,0.1
New HIV infections (per 1000 uninfected population),Europe,Estonia,2023,Female,0.1
New HIV infections (per 1000 uninfected population),Europe,France,2023,Both sexes,0.1
New HIV infections (per 1000 uninfected population),Europe,France,2023,Female,0.1
New HIV infections (per 1000 uninfected population),Europe,Georgia,2023,Female,0.1
New HIV infections (per 1000 uninfected population),Europe,Greece,2023,Both sexes,0.1
New HIV infections (per 1000 uninfected population),Europe,Greece,2023,Female,0.1
New HIV infections (per 1000 uninfected population),Americas,Guatemala,2023,Both sexes,0.1
New HIV infections (per 1000 uninfected population),Americas,Guatemala,2023,Female,0.1
New HIV infections (per 1000 uninfected population),Americas,Honduras,2023,Both sexes,0.1
New HIV infections (per 1000 uninfected population),Americas,Honduras,2023,Female,0.1
New HIV infections (per 1000 uninfected population),Europe,Iceland,2023,Both sexes,0.1
New HIV infections (per 1000 uninfected population),Europe,Iceland,2023,Male,0.1
New HIV infections (per 1000 uninfected population),South-East Asia,India,2023,Both sexes,0.1
New HIV infections (per 1000 uninfected population),South-East Asia,India,2023,Female,0.1
New HIV infections (per 1000 uninfected population),South-East Asia,India,2023,Male,0.1
New HIV infections (per 1000 uninfected population),South-East Asia,Indonesia,2023,Female,0.1
New HIV infections (per 1000 uninfected population),Eastern Mediterranean,Iran (Islamic Republic of),2023,Both sexes,0.1
New HIV infections (per 1000 uninfected population),Eastern Mediterranean,Iran (Islamic Republic of),2023,Female,0.1
New HIV infections (per 1000 uninfected population),Eastern Mediterranean,Iran (Islamic Republic of),2023,Male,0.1
New HIV infections (per 1000 uninfected population),Europe,Ireland,2023,Both sexes,0.1
New HIV infections (per 1000 uninfected population),Europe,Ireland,2023,Female,0.1
New HIV infections (per 1000 uninfected population),Europe,Ireland,2023,Male,0.1
New HIV infections (per 1000 uninfected population),Europe,Israel,2023,Both sexes,0.1
New HIV infections (per 1000 uninfected population),Europe,Israel,2023,Female,0.1
New HIV infections (per 1000 uninfected population),Europe,Israel,2023,Male,0.1
New HIV infections (per 1000 uninfected population),Europe,Italy,2023,Both sexes,0.1
New HIV infections (per 1000 uninfected population),Europe,Italy,2023,Male,0.1
New HIV infections (per 1000 uninfected population),Europe,Kazakhstan,2023,Female,0.1
New HIV infections (per 1000 uninfected population),Eastern Mediterranean,Kuwait,2023,Both sexes,0.1
